(venv) PS C:\Users\ctlab\tomoka> python training.py                                                                              
Using device: cuda
Train: 9469 images | Val: 3925 images
Loaded frozen ACNNP weights from 'baseline_acnnp_amp.pth'
  train epoch 6/20 batch 450/1184 | loss 0.002901 | elapsed 1.5 min
  train epoch 6/20 batch 500/1184 | loss 0.002904 | elapsed 1.7 min
  train epoch 6/20 batch 550/1184 | loss 0.002911 | elapsed 1.8 min
  train epoch 6/20 batch 600/1184 | loss 0.002912 | elapsed 2.0 min
  train epoch 6/20 batch 650/1184 | loss 0.002922 | elapsed 2.2 min
  train epoch 6/20 batch 700/1184 | loss 0.002922 | elapsed 2.3 min
  train epoch 6/20 batch 750/1184 | loss 0.002920 | elapsed 2.5 min
  train epoch 6/20 batch 800/1184 | loss 0.002926 | elapsed 2.7 min
  train epoch 6/20 batch 850/1184 | loss 0.002923 | elapsed 2.8 min
  train epoch 6/20 batch 900/1184 | loss 0.002922 | elapsed 3.0 min
  train epoch 6/20 batch 950/1184 | loss 0.002922 | elapsed 3.2 min
  train epoch 6/20 batch 1000/1184 | loss 0.002925 | elapsed 3.3 min
  train epoch 6/20 batch 1050/1184 | loss 0.002920 | elapsed 3.5 min
  train epoch 6/20 batch 1100/1184 | loss 0.002915 | elapsed 3.7 min
  train epoch 6/20 batch 1150/1184 | loss 0.002911 | elapsed 3.8 min
Epoch [6/20] LR: 8.55e-04 | Train Circle Loss: 0.002907 | Val PixelCNN Circle PSNR: 25.94 dB | Val PixelCNN Circle SSIM: 0.9786 | Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 25.96 dB @ epoch 
3
  train epoch 7/20 batch 50/1184 | loss 0.002744 | elapsed 0.2 min
  train epoch 7/20 batch 100/1184 | loss 0.002814 | elapsed 0.3 min
  train epoch 7/20 batch 150/1184 | loss 0.002852 | elapsed 0.5 min
  train epoch 7/20 batch 200/1184 | loss 0.002873 | elapsed 0.7 min
  train epoch 7/20 batch 250/1184 | loss 0.002884 | elapsed 0.8 min
  train epoch 7/20 batch 300/1184 | loss 0.002889 | elapsed 1.0 min
  train epoch 7/20 batch 350/1184 | loss 0.002898 | elapsed 1.2 min
  train epoch 7/20 batch 400/1184 | loss 0.002915 | elapsed 1.3 min
  train epoch 7/20 batch 450/1184 | loss 0.002899 | elapsed 1.5 min
  train epoch 7/20 batch 500/1184 | loss 0.002905 | elapsed 1.7 min
  train epoch 7/20 batch 550/1184 | loss 0.002907 | elapsed 1.8 min
  train epoch 7/20 batch 600/1184 | loss 0.002904 | elapsed 2.0 min
  train epoch 7/20 batch 650/1184 | loss 0.002895 | elapsed 2.2 min
  train epoch 7/20 batch 700/1184 | loss 0.002904 | elapsed 2.3 min
  train epoch 7/20 batch 750/1184 | loss 0.002901 | elapsed 2.5 min
  train epoch 7/20 batch 800/1184 | loss 0.002899 | elapsed 2.7 min
  train epoch 7/20 batch 850/1184 | loss 0.002900 | elapsed 2.8 min
  train epoch 7/20 batch 900/1184 | loss 0.002894 | elapsed 3.0 min
  train epoch 7/20 batch 950/1184 | loss 0.002894 | elapsed 3.2 min
  train epoch 7/20 batch 1000/1184 | loss 0.002889 | elapsed 3.3 min
  train epoch 7/20 batch 1050/1184 | loss 0.002889 | elapsed 3.5 min
  train epoch 7/20 batch 1100/1184 | loss 0.002894 | elapsed 3.7 min
  train epoch 7/20 batch 1150/1184 | loss 0.002891 | elapsed 3.8 min
Epoch [7/20] LR: 7.96e-04 | Train Circle Loss: 0.002896 | Val PixelCNN Circle PSNR: 25.97 dB | Val PixelCNN Circle SSIM: 0.9787 | Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 25.97 dB @ epoch 
7 | saved best
  train epoch 8/20 batch 50/1184 | loss 0.002931 | elapsed 0.2 min
  train epoch 8/20 batch 100/1184 | loss 0.002920 | elapsed 0.3 min
  train epoch 8/20 batch 150/1184 | loss 0.002898 | elapsed 0.5 min
  train epoch 8/20 batch 200/1184 | loss 0.002923 | elapsed 0.7 min
  train epoch 8/20 batch 250/1184 | loss 0.002916 | elapsed 0.8 min
  train epoch 8/20 batch 300/1184 | loss 0.002921 | elapsed 1.0 min
  train epoch 8/20 batch 350/1184 | loss 0.002912 | elapsed 1.2 min
  train epoch 8/20 batch 400/1184 | loss 0.002917 | elapsed 1.3 min
  train epoch 8/20 batch 450/1184 | loss 0.002914 | elapsed 1.5 min
  train epoch 8/20 batch 500/1184 | loss 0.002911 | elapsed 1.7 min
  train epoch 8/20 batch 550/1184 | loss 0.002898 | elapsed 1.8 min
  train epoch 8/20 batch 600/1184 | loss 0.002901 | elapsed 2.0 min
  train epoch 8/20 batch 650/1184 | loss 0.002921 | elapsed 2.2 min
  train epoch 8/20 batch 700/1184 | loss 0.002917 | elapsed 2.3 min
  train epoch 8/20 batch 750/1184 | loss 0.002917 | elapsed 2.5 min
  train epoch 8/20 batch 800/1184 | loss 0.002916 | elapsed 2.7 min
  train epoch 8/20 batch 850/1184 | loss 0.002913 | elapsed 2.8 min
  train epoch 8/20 batch 900/1184 | loss 0.002913 | elapsed 3.0 min
  train epoch 8/20 batch 950/1184 | loss 0.002908 | elapsed 3.2 min
  train epoch 8/20 batch 1000/1184 | loss 0.002904 | elapsed 3.3 min
  train epoch 8/20 batch 1050/1184 | loss 0.002907 | elapsed 3.5 min
